var,coef,stderr,ci_lower,ci_upper,N,r2,outcome,command,year
1.hci#1986.year,1.3673431,.40907398,.5620543323275666,2.172631803918161,4726,.7826110440520611,l_costs,reghdfe,1986
1.hci#1970.year,-.093062438,.065008417,-.2210357350510746,.0349108589095265,4696,.5964131819628786,l_i_n,reghdfe,1970
1.hci#1971.year,-.052073367,.046976186,-.1445490453734272,.0404023114933842,4696,.5964131819628786,l_i_n,reghdfe,1971
1o.hci#1972b.year,0,0,0,0,4696,.5964131819628786,l_i_n,reghdfe,1972
1.hci#1973.year,.040505823,.058245029,-.0741533060606821,.1551649515565737,4696,.5964131819628786,l_i_n,reghdfe,1973
1.hci#1974.year,.011383914,.060919464,-.1085400123688501,.1313078411462826,4696,.5964131819628786,l_i_n,reghdfe,1974
1.hci#1975.year,.018123597,.066855848,-.1134864882912161,.1497336821045401,4696,.5964131819628786,l_i_n,reghdfe,1975
1.hci#1976.year,.11909987,.077427424,-.03332105116216,.2715207918104297,4696,.5964131819628786,l_i_n,reghdfe,1976
1.hci#1977.year,.063440152,.083575942,-.1010845258866641,.2279648289119098,4696,.5964131819628786,l_i_n,reghdfe,1977
1.hci#1978.year,.20922716,.074623093,.0623267470660099,.3561275721726528,4696,.5964131819628786,l_i_n,reghdfe,1978
1.hci#1979.year,.18746297,.080843695,.0283168993823084,.3466090418465582,4696,.5964131819628786,l_i_n,reghdfe,1979
1.hci#1980.year,.30179876,.087635957,.1292816797125997,.4743158420693217,4696,.5964131819628786,l_i_n,reghdfe,1980
1.hci#1981.year,.06659817,.074587353,-.0802318856763974,.2134282246875897,4696,.5964131819628786,l_i_n,reghdfe,1981
1.hci#1982.year,.15338065,.080865666,-.0058086767734875,.3125699713768352,4696,.5964131819628786,l_i_n,reghdfe,1982
1.hci#1983.year,.097892299,.079438053,-.0584866753378071,.2542712739267506,4696,.5964131819628786,l_i_n,reghdfe,1983
1.hci#1984.year,.14032473,.086625472,-.0302031490395244,.3108526024410899,4696,.5964131819628786,l_i_n,reghdfe,1984
1.hci#1985.year,.12446,.074650593,-.0224945514556454,.2714145450946377,4696,.5964131819628786,l_i_n,reghdfe,1985
1.hci#1986.year,.17814369,.088072829,.0047666023894168,.3515207876042509,4696,.5964131819628786,l_i_n,reghdfe,1986
1.hci#1970.year,-.19022612,.2240099,-.6312041844591094,.2507519389852478,4713,.7918731773050639,l_inv_tot,reghdfe,1970
1.hci#1971.year,.022835497,.21994399,-.410138544903635,.4558095385297528,4713,.7918731773050639,l_inv_tot,reghdfe,1971
1o.hci#1972b.year,0,0,0,0,4713,.7918731773050639,l_inv_tot,reghdfe,1972
1.hci#1973.year,.16388465,.19831993,-.2265210213801496,.5542903306624525,4713,.7918731773050639,l_inv_tot,reghdfe,1973
1.hci#1974.year,.39291406,.19806528,.003009667860519,.7828184456953893,4713,.7918731773050639,l_inv_tot,reghdfe,1974
1.hci#1975.year,.42499682,.26883313,-.1042186811428211,.954212327287688,4713,.7918731773050639,l_inv_tot,reghdfe,1975
1.hci#1976.year,.56270605,.29874969,-.0254021348291718,1.150814241343149,4713,.7918731773050639,l_inv_tot,reghdfe,1976
1.hci#1977.year,.68192691,.30202103,.0873788698376475,1.276474942380065,4713,.7918731773050639,l_inv_tot,reghdfe,1977
1.hci#1978.year,.94440913,.31553626,.3232554784987127,1.565562785508856,4713,.7918731773050639,l_inv_tot,reghdfe,1978
1.hci#1979.year,1.0425314,.30891564,.4344108303052175,1.650651911928059,4713,.7918731773050639,l_inv_tot,reghdfe,1979
1.hci#1980.year,1.1625259,.30011094,.5717379932749094,1.753313791240471,4713,.7918731773050639,l_inv_tot,reghdfe,1980
1.hci#1981.year,.62435251,.30205771,.0297322583982961,1.218972771089314,4713,.7918731773050639,l_inv_tot,reghdfe,1981
1.hci#1982.year,.81824011,.31860313,.1910491242611553,1.445431087950454,4713,.7918731773050639,l_inv_tot,reghdfe,1982
1.hci#1983.year,.83415699,.3234843,.1973571009204519,1.470956879182087,4713,.7918731773050639,l_inv_tot,reghdfe,1983
1.hci#1984.year,1.0294615,.31669432,.4060281357568113,1.652894870300928,4713,.7918731773050639,l_inv_tot,reghdfe,1984
1.hci#1985.year,1.0455017,.32815549,.3995062859577382,1.691497132011012,4713,.7918731773050639,l_inv_tot,reghdfe,1985
1.hci#1986.year,1.0601292,.34119931,.3884561328099396,1.731802198488889,4713,.7918731773050639,l_inv_tot,reghdfe,1986
1.hci#1970.year,.040314816,.091156602,-.1391328843238322,.2197625162007777,4719,.7507351537968199,l_m_n,reghdfe,1970
1.hci#1971.year,-.019002767,.088266812,-.1927617286634574,.1547561941039691,4719,.7507351537968199,l_m_n,reghdfe,1971
1o.hci#1972b.year,0,0,0,0,4719,.7507351537968199,l_m_n,reghdfe,1972
1.hci#1973.year,.1238193,.077452697,-.028651372747081,.2762899708315308,4719,.7507351537968199,l_m_n,reghdfe,1973
1.hci#1974.year,.068860427,.076154374,-.0810544114286835,.2187752645189697,4719,.7507351537968199,l_m_n,reghdfe,1974
1.hci#1975.year,.18889222,.11315208,-.0338550127183607,.4116394436990431,4719,.7507351537968199,l_m_n,reghdfe,1975
